name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType
Howard Schultz,6253.0,3248.0,1515.0,1953-07-19T00:00:00Z,,United States,Entrepreneur
Michael Dell,4281.0,4999.0,1678.0,1965-02-23T00:00:00Z,,United States,Entrepreneur
Masayoshi Son,3169.0,3338.0,3636.0,1947-08-11T00:00:00Z,,Japan,Entrepreneur
Eric Schmidt,4329.0,4182.0,1486.0,1955-04-27T00:00:00Z,,United States,Entrepreneur
Ray Dalio,5198.0,2641.0,1649.0,1949-08-08T00:00:00z,,United States,Entrepreneur
Marc Andreessen,2164.0,3861.0,2639.0,1971-07-09T00:00:00Z,,United States,Entrepreneur
Mackenzie Scott,3590.0,4108.0,766.0,1970-04-07T00:00:00Z,,United States,Entrepreneur
Reed Hastings,3686.0,3928.0,703.0,1960-10-08T00:00:00Z,,United States,Entrepreneur
Lisa Su,3622.0,3641.0,1047.0,1969-11-07T00:00:00Z,,United States and Taiwan,Entrepreneur
David Rubenstein,2803.0,2712.0,2425.0,1949-08-11T00:00:00Z,,United States,Entrepreneur
David Solomon ,4316.0,2027.0,1247.0,1962-01-17T00:00:00Z,,United States,Entrepreneur
Sheryl Sandberg,2107.0,2966.0,1859.0,1969-08-28T00:00:00Z,,United States,Entrepreneur
Jane Fraser,3487.0,2423.0,785.0,1957-07-13T00:00:00Z,,Uniteed Kingdom,Entrepreneur
Dara Khosrowshahi,2356.0,3185.0,974.0,1969-05-28T00:00:00Z,,United States and Iran,Entrepreneur
Doug Mcmillon,2210.0,1746.0,2357.0,1966-10-17T00:00:00Z,,United States,Entrepreneur
Evan Spiegel,2241.0,3395.0,308.0,1990-06-04T00:00:00Z,,United States,Entrepreneur
Brian Chesky ,2479.0,2272.0,748.0,1981-08-29T00:00:00Z,,United States,Entrepreneur
Evan Williams,1749.0,2578.0,1147.0,1972-03-31T00:00:00Z,,United States,Entrepreneur
Ritesh Agarwal,1121.0,1629.0,902.0,1993-11-06T00:00:00Z,,India,Entrepreneur
Laurene Powell Jobs,1360.0,1615.0,541.0,1963-11-06T00:00:00Z,,United States,Entrepreneur
Chamath Palihapitiya,966.0,1051.0,292.0,1976-09-03T00:00:00Z,,Canada and Sri Lanka,Entrepreneur
