name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType,vol_jump_dates
Bernard Arnault,13735.0,11487.0,5577.0,1949-03-05T00:00:00Z,,France,Entrepreneur,"[20230112, 20230116, 20230127, 20230131, 20230228, 20230405, 20230509, 20230524, 20230601, 20230617, 20230627, 20230702, 20230905, 20230930, 20231006, 20231029, 20231101, 20240115, 20240121, 20240128, 20240211, 20240305, 20240403, 20240407, 20240509, 20240512, 20240626, 20240726, 20240809, 20241010, 20241120, 20241128, 20241207, 20250121, 20250129, 20250314, 20250418, 20250522, 20250525]"
Bernie Sanders,37156.0,52836.0,23151.0,1941-09-08T00:00:00Z,,United States,Politician,"[20230208, 20230221, 20230222, 20230304, 20230330, 20230402, 20230426, 20230511, 20230601, 20230827, 20231012, 20231105, 20231115, 20240207, 20240308, 20240315, 20240423, 20240426, 20240506, 20240628, 20240721, 20240821, 20241106, 20241111, 20241117, 20250121, 20250131, 20250220, 20250305, 20250311, 20250322, 20250413, 20250424]"
Bill Clinton,85642.0,114585.0,36029.0,1946-08-19T00:00:00Z,,United States,Politician,"[20230219, 20230320, 20230331, 20230404, 20230418, 20230614, 20230703, 20230903, 20230911, 20231128, 20231208, 20231213, 20240101, 20240104, 20240312, 20240329, 20240531, 20240628, 20240721, 20240822, 20240916, 20241015, 20241103, 20241106, 20241117, 20241120, 20241125, 20241206, 20241211, 20241224, 20241230, 20250120, 20250227, 20250420, 20250514]"
Bill Gates,109927.0,45749.0,21817.0,1955-10-28T00:00:00Z,<null>,United States,Entrepreneur,"[20230126, 20230203, 20230304, 20230331, 20230409, 20230522, 20230618, 20230810, 20230907, 20231103, 20240104, 20240301, 20240303, 20240329, 20240513, 20240616, 20240719, 20240804, 20240820, 20240924, 20241003, 20241024, 20250202, 20250206, 20250209, 20250509]"
Billie Eilish,42248.0,78009.0,34415.0,2001-12-18T00:00:00Z,,United States,Celebrity,"[20230128, 20230206, 20230314, 20230318, 20230325, 20230330, 20230502, 20230622, 20231204, 20240108, 20240205, 20240311, 20240405, 20240408, 20240420, 20240425, 20240430, 20240503, 20240510, 20240517, 20240802, 20240811, 20240930, 20250104, 20250203, 20250520]"
Blake Lively,24866.0,47297.0,39086.0,1987-08-25T00:00:00Z,,United States,Celebrity,"[20230103, 20230127, 20230213, 20230408, 20230422, 20230502, 20230818, 20230827, 20230912, 20231002, 20231214, 20240212, 20240323, 20240507, 20240531, 20240722, 20240723, 20240728, 20240804, 20240808, 20240817, 20240824, 20240831, 20241222, 20241229, 20250117, 20250202, 20250217, 20250504, 20250510]"
Blake Shelton,46879.0,52460.0,22961.0,1976-06-18T00:00:00Z,,United States,Celebrity,"[20230307, 20230314, 20230403, 20230408, 20230430, 20230513, 20230516, 20230524, 20230722, 20230723, 20230731, 20230815, 20230906, 20230929, 20231004, 20231018, 20231020, 20231109, 20231123, 20231221, 20231224, 20240101, 20240111, 20240128, 20240211, 20240217, 20240226, 20240317, 20240411, 20240517, 20240621, 20240803, 20240815, 20240921, 20241121, 20250101, 20250320, 20250505, 20250509, 20250521, 20250527]"
Bob Dylan,52291.0,64754.0,44794.0,2000-01-01T00:00:00Z,,United States,Celebrity,"[20230120, 20230312, 20230315, 20230524, 20230624, 20230812, 20230822, 20230924, 20231001, 20231024, 20231202, 20231208, 20231224, 20240131, 20240204, 20240319, 20240325, 20240405, 20240524, 20240615, 20240622, 20240716, 20240725, 20241009, 20241013, 20241125, 20241207, 20241221, 20241226, 20241228, 20250101, 20250111, 20250117, 20250126, 20250201, 20250223, 20250301, 20250303, 20250308, 20250316, 20250323, 20250328, 20250330, 20250420, 20250427, 20250503, 20250524]"
Bob Iger,31334.0,15685.0,2677.0,1951-02-10T00:00:00Z,,United States,Entrepreneur,"[20230110, 20230209, 20230312, 20230319, 20230402, 20230513, 20230521, 20230605, 20230714, 20230715, 20230810, 20231128, 20231130, 20240208, 20240404, 20240507, 20240605, 20240703, 20240809, 20240908, 20240915, 20241021, 20241114, 20241224, 20250118, 20250214, 20250302, 20250507, 20250519]"
Bobby Bones,52895.0,62157.0,20086.0,1980-04-02T00:00:00Z,,United States,Celebrity,"[20230111, 20230215, 20230316, 20230403, 20230418, 20230512, 20231109, 20231116, 20240206, 20240227, 20240517, 20240613, 20240731, 20240806, 20240819, 20250115, 20250305, 20250509]"
Boris Johnson,304639.0,105857.0,15793.0,1964-06-19T00:00:00Z,,United Kingdom,Politician,"[20230111, 20230122, 20230130, 20230203, 20230306, 20230320, 20230322, 20230417, 20230506, 20230519, 20230527, 20230531, 20230604, 20230610, 20230615, 20230619, 20230623, 20230711, 20230717, 20230724, 20231027, 20231101, 20231113, 20231206, 20240209, 20240307, 20240310, 20240407, 20240503, 20240618, 20240704, 20240705, 20240713, 20240722, 20240929, 20241004, 20241014, 20241106, 20241111, 20241118, 20250112, 20250120, 20250219, 20250301, 20250408, 20250524]"
Brad Pitt,56501.0,50395.0,18836.0,1981-11-08T00:00:00Z,,United States,Celebrity,"[20230107, 20230111, 20230115, 20230225, 20230512, 20230602, 20230614, 20230702, 20230716, 20230723, 20230817, 20231029, 20231111, 20231115, 20231210, 20231218, 20231221, 20240203, 20240329, 20240406, 20240426, 20240531, 20240601, 20240617, 20240708, 20240807, 20240902, 20240928, 20241012, 20241118, 20241231, 20250111, 20250114, 20250115, 20250209, 20250315, 20250420]"
Brad Smith,11321.0,7516.0,2686.0,1959-01-17T00:00:00Z,,United States,Entrepreneur,"[20230111, 20230221, 20230427, 20231111, 20231115, 20240203, 20240602, 20240721, 20240908, 20240927, 20241219, 20250430]"
Britney Spears,143234.0,53487.0,11896.0,1981-12-02T00:00:00Z,,United States,Celebrity,"[20230115, 20230516, 20230611, 20230625, 20230707, 20230812, 20230817, 20230821, 20230914, 20230929, 20231014, 20231018, 20231110, 20231119, 20231120, 20231203, 20240104, 20240502, 20240503, 20240523, 20240625, 20240708, 20240720, 20240727, 20240807, 20240913, 20240921, 20241203, 20250218, 20250413, 20250524]"
Bruce Springsteen,58845.0,71855.0,21916.0,1949-09-23T00:00:00Z,,United States,Celebrity,"[20230204, 20230214, 20230429, 20230518, 20230530, 20230725, 20230817, 20230907, 20230928, 20231031, 20231103, 20231107, 20231231, 20240202, 20240525, 20240612, 20240721, 20240923, 20241004, 20241025, 20250101, 20250517]"
Carlo Ancelotti,35637.0,37701.0,18991.0,1959-06-10T00:00:00Z,,Italy,Celebrity,"[20230210, 20230221, 20230412, 20230509, 20230517, 20230619, 20230622, 20230705, 20231011, 20231122, 20231125, 20231129, 20231208, 20231229, 20240114, 20240126, 20240213, 20240225, 20240306, 20240409, 20240417, 20240430, 20240508, 20240512, 20240601, 20240629, 20240703, 20240814, 20240917, 20240929, 20241027, 20250121, 20250417, 20250420, 20250429, 20250512, 20250526]"
Carrie Underwood,47316.0,64602.0,42959.0,1983-03-10T00:00:00Z,,United States,Celebrity,"[20230208, 20230315, 20230403, 20230810, 20230911, 20230925, 20230928, 20231109, 20231208, 20231211, 20240102, 20240115, 20240212, 20240222, 20240403, 20240604, 20240802, 20240829, 20240909, 20241121, 20241225, 20250101, 20250114, 20250120, 20250310, 20250317, 20250320, 20250331, 20250421, 20250429, 20250519]"
Chris Christie,71262.0,22459.0,993.0,1962-09-06T00:00:00Z,,United States,Politician,"[20230205, 20230328, 20230519, 20230527, 20230531, 20230607, 20230613, 20230626, 20230702, 20230712, 20230714, 20230805, 20230808, 20230824, 20230924, 20230928, 20231105, 20231109, 20231117, 20231207, 20231211, 20231229, 20231230, 20240111, 20240116, 20240717, 20240804, 20240911, 20241018, 20241022, 20241106, 20241215, 20250131, 20250302, 20250425]"
Chris Evans,25442.0,18939.0,6971.0,1981-06-13T00:00:00Z,,United States,Celebrity,"[20230107, 20230215, 20230307, 20230422, 20230606, 20230613, 20230821, 20230906, 20230911, 20230920, 20231015, 20231029, 20231127, 20240121, 20240306, 20240311, 20240313, 20240728, 20241003, 20241022, 20241115, 20241117, 20241210, 20241215, 20241225]"
Chris Hemsworth,19871.0,28167.0,6158.0,1983-08-11T00:00:00Z,,Australia,Celebrity,"[20230403, 20230607, 20230617, 20230709, 20230812, 20231007, 20231106, 20231126, 20231202, 20231231, 20240210, 20240311, 20240501, 20240507, 20240524, 20240825, 20240901, 20250126, 20250210, 20250219, 20250327]"
Chris Pratt,22535.0,12119.0,6956.0,1978-06-21T00:00:00Z,,United States,Celebrity,"[20230406, 20230409, 20230430, 20230506, 20230806, 20230923, 20230930, 20231025, 20231114, 20231225, 20240101, 20240105, 20240121, 20240212, 20240420, 20240518, 20240629, 20241018, 20241112, 20241222, 20241228, 20250210, 20250225, 20250227, 20250301, 20250307, 20250314, 20250315, 20250423, 20250521]"
Chris Stapleton,43355.0,52685.0,13057.0,1978-04-15T00:00:00Z,,United States,Celebrity,"[20230206, 20230210, 20230213, 20230218, 20230501, 20230512, 20230722, 20230919, 20231109, 20240302, 20240403, 20240414, 20240517, 20240616, 20240927, 20241121, 20250101, 20250109, 20250114, 20250118, 20250203, 20250209, 20250218, 20250510, 20250524]"
Chuck Schumer,28754.0,34076.0,24446.0,1950-11-23T00:00:00Z,,United States,Politician,"[20230208, 20230213, 20230217, 20230308, 20230416, 20230427, 20230516, 20230602, 20230710, 20230715, 20231004, 20231016, 20231130, 20240124, 20240311, 20240315, 20240325, 20240424, 20240618, 20240628, 20240718, 20240721, 20240802, 20240821, 20241018, 20241106, 20241208, 20250120, 20250206, 20250219, 20250305, 20250313, 20250318, 20250323, 20250328, 20250402]"
Cristiano Ronaldo,857002.0,59726.0,15457.0,1985-02-05T00:00:00Z,,Portugal,Celebrity,"[20230119, 20230205, 20230209, 20230225, 20230326, 20230621, 20230813, 20230917, 20231013, 20231031, 20231226, 20240120, 20240201, 20240205, 20240321, 20240601, 20240618, 20240622, 20240701, 20240705, 20240715, 20240822, 20240908, 20241116, 20250205, 20250320, 20250323, 20250405, 20250413, 20250513, 20250518]"
Cyril Ramaphosa,55518.0,40568.0,12545.0,1952-11-17T00:00:00Z,,South Africa,Politician,"[20230116, 20230209, 20230215, 20230306, 20230313, 20230401, 20230608, 20230616, 20230617, 20230821, 20230904, 20231015, 20231030, 20231118, 20240107, 20240205, 20240208, 20240515, 20240523, 20240531, 20240615, 20240616, 20240619, 20240630, 20240718, 20240723, 20240801, 20240913, 20240924, 20241019, 20241025, 20241114, 20241117, 20241204, 20250124, 20250203, 20250207, 20250305, 20250321, 20250514, 20250522]"
Dana White,62752.0,20710.0,10411.0,1969-07-29T00:00:00Z,,United States,Entrepreneur,"[20230103, 20230112, 20230305, 20230403, 20230409, 20230709, 20231217, 20240121, 20240215, 20240218, 20240310, 20240328, 20240414, 20240506, 20240602, 20240705, 20240714, 20240719, 20240728, 20240915, 20241027, 20241106, 20241117, 20250107, 20250120, 20250131, 20250309, 20250413, 20250420]"
Danielle Smith,35249.0,36333.0,27989.0,1971-04-01T00:00:00Z,,Canada,Politician,"[20230208, 20230330, 20230509, 20230519, 20230530, 20230621, 20230630, 20230706, 20230711, 20230915, 20230921, 20231011, 20231108, 20231128, 20240201, 20240222, 20240411, 20240717, 20240725, 20240817, 20240828, 20240918, 20241103, 20250113, 20250116, 20250202, 20250208, 20250305, 20250320, 20250324, 20250327, 20250429, 20250505]"
David Beckham,54609.0,30701.0,12435.0,1975-05-02T00:00:00Z,,United Kingdom,Celebrity,"[20230122, 20230428, 20230502, 20230603, 20230608, 20230705, 20230717, 20230722, 20230726, 20230813, 20230820, 20230920, 20230929, 20230930, 20231006, 20231022, 20231030, 20231111, 20231115, 20231126, 20231222, 20231226, 20240201, 20240411, 20240421, 20240502, 20240616, 20240705, 20240710, 20240714, 20240811, 20240830, 20240913, 20241020, 20241207, 20241225, 20250201, 20250210, 20250305, 20250401, 20250502]"
David Solomon ,4316.0,2027.0,1247.0,1962-01-17T00:00:00Z,,United States,Entrepreneur,"[20230127, 20230205, 20230228, 20230613, 20230622, 20230812, 20230814, 20230821, 20230908, 20230912, 20231017, 20240218, 20240305, 20241208, 20250117, 20250207, 20250314, 20250412]"
Dolly Parton,89506.0,84397.0,38048.0,1946-01-19T00:00:00Z,,United States,Celebrity,"[20230110, 20230114, 20230120, 20230221, 20230330, 20230512, 20230617, 20230630, 20230711, 20230805, 20230819, 20231108, 20231111, 20231117, 20231123, 20231202, 20231216, 20231222, 20240119, 20240222, 20240330, 20240515, 20240524, 20240608, 20240709, 20240712, 20240817, 20241005, 20241203, 20241225, 20250119, 20250215, 20250304, 20250307, 20250316, 20250320, 20250502, 20250511, 20250529]"
Donald Trump,1910209.0,3705629.0,2572869.0,1945-06-14T00:00:00Z,,United States,Politician,"[20230318, 20230321, 20230331, 20230404, 20230509, 20230609, 20230613, 20230803, 20230815, 20230825, 20231004, 20231220, 20240116, 20240306, 20240531, 20240614, 20240714, 20240729, 20240911, 20240915, 20241014, 20241020, 20241028, 20241106, 20250120, 20250301, 20250305]"
Dua Lipa,48028.0,70201.0,13970.0,1995-08-22T00:00:00Z,,United Kingdom and Albania,Celebrity,"[20230111, 20230325, 20230502, 20230520, 20230625, 20230710, 20230723, 20231001, 20231104, 20231119, 20231203, 20240101, 20240205, 20240318, 20240412, 20240505, 20240628, 20240913, 20240920, 20241208, 20241216, 20241227, 20241231, 20250216, 20250408, 20250410, 20250528]"
Ed Sheeran,73907.0,33650.0,19102.0,1991-02-17T00:00:00Z,,United Kingdom,Celebrity,"[20230301, 20230318, 20230322, 20230324, 20230401, 20230416, 20230426, 20230503, 20230505, 20230508, 20230701, 20230910, 20230924, 20230929, 20231020, 20231026, 20231225, 20240216, 20240317, 20240519, 20240705, 20240710, 20240817, 20240920, 20241124, 20241130, 20241224, 20241231, 20250209]"
Eknath Shinde,51718.0,56143.0,14080.0,1964-02-09T00:00:00Z,,India,Politician,"[20230209, 20230217, 20230409, 20230511, 20230609, 20230614, 20230617, 20230702, 20230723, 20230925, 20231030, 20231203, 20240110, 20240123, 20240127, 20240209, 20240329, 20240417, 20240520, 20240604, 20240717, 20240721, 20240827, 20240916, 20240919, 20241013, 20241117, 20241120, 20241123, 20241126, 20241130, 20241205, 20241211, 20250222, 20250302, 20250316, 20250324, 20250329, 20250406, 20250517]"
Elon Musk,405985.0,441823.0,513483.0,1971-06-28T00:00:00Z,,United States and South Africa,Entrepreneur,"[20230213, 20230228, 20230319, 20230412, 20230420, 20230517, 20230623, 20230910, 20231028, 20231118, 20231130, 20240108, 20240120, 20240131, 20240314, 20240408, 20240624, 20240723, 20240813, 20241006, 20241106, 20241108, 20241113, 20241220, 20250101, 20250109, 20250121, 20250215, 20250311, 20250402, 20250529]"
Elton John,121132.0,85474.0,42175.0,1987-04-08T00:00:00Z,,United Kingdom,Celebrity,"[20230127, 20230325, 20230501, 20230603, 20230621, 20230625, 20230630, 20230709, 20230716, 20230828, 20231006, 20231014, 20231021, 20231223, 20231224, 20231230, 20240101, 20240116, 20240203, 20240222, 20240323, 20240325, 20240409, 20240420, 20240504, 20240630, 20240707, 20240721, 20240904, 20240907, 20240910, 20240928, 20241202, 20241225, 20250207, 20250303, 20250407, 20250419]"
Eric Trump,48876.0,29192.0,8617.0,1984-01-06T00:00:00Z,,United States,Entrepreneur,"[20230331, 20230405, 20230804, 20230825, 20230903, 20230927, 20231003, 20231007, 20231103, 20240116, 20240124, 20240217, 20240325, 20240531, 20240710, 20240717, 20240719, 20240926, 20241027, 20241106, 20250120, 20250211, 20250214, 20250407, 20250425]"
Evan Williams,1749.0,2578.0,1147.0,1972-03-31T00:00:00Z,,United States,Entrepreneur,"[20230124, 20230314, 20230923, 20231224, 20240427, 20240509, 20240513, 20240915, 20241013, 20241031, 20241206, 20241220, 20241224, 20250108, 20250112, 20250116, 20250225, 20250511]"
Fedor Emelianenko,113728.0,504.0,218.0,1976-09-28T00:00:00Z,,Russia,Celebrity,"[20230204, 20230205, 20230413, 20230810, 20230907, 20230910, 20231021, 20231226, 20240125, 20240526, 20241117, 20250126, 20250417]"
Gautam Adani,26607.0,27157.0,8447.0,1962-06-24T00:00:00Z,,India,Entrepreneur,"[20230108, 20230125, 20230130, 20230202, 20230203, 20230206, 20230220, 20230224, 20230227, 20230420, 20230604, 20230624, 20230829, 20230917, 20231211, 20240105, 20240111, 20240303, 20240315, 20240603, 20240625, 20240714, 20240806, 20240830, 20240910, 20241010, 20241121, 20241127, 20241217, 20241221, 20250104, 20250121, 20250208, 20250220, 20250506]"
Gavin Newsom,121938.0,108181.0,58935.0,1967-10-10T00:00:00Z,,United States,Politician,"[20230124, 20230216, 20230307, 20230411, 20230613, 20230617, 20230803, 20230820, 20230910, 20230926, 20230929, 20231201, 20240120, 20240204, 20240626, 20240628, 20240703, 20240712, 20240718, 20240721, 20240821, 20240919, 20241108, 20241109, 20250109, 20250110, 20250125, 20250307, 20250313, 20250330, 20250405, 20250417, 20250514]"
George Clooney,28644.0,43943.0,12885.0,1961-05-06T00:00:00Z,,United States,Celebrity,"[20230108, 20230121, 20230128, 20230617, 20230618, 20230709, 20230731, 20230902, 20230930, 20231204, 20231214, 20231225, 20240101, 20240316, 20240322, 20240523, 20240529, 20240615, 20240711, 20240721, 20240814, 20240902, 20240918, 20240928, 20241110, 20241201, 20241225, 20250101, 20250130, 20250324, 20250405, 20250417, 20250422]"
George Soros,30161.0,17168.0,12134.0,1930-08-12T00:00:00Z,,United States and Hungary,Entrepreneur,"[20230217, 20230306, 20230320, 20230331, 20230515, 20230612, 20230824, 20230831, 20231101, 20231225, 20231229, 20240426, 20240501, 20240531, 20240722, 20240813, 20240925, 20241209, 20241210, 20250105, 20250207, 20250402, 20250406]"
Gianni Infantino,8622.0,4503.0,2619.0,1970-03-23T00:00:00Z,,Italy and Switzerland  ,Entrepreneur,"[20230103, 20230108, 20230227, 20230316, 20230323, 20230611, 20230717, 20230820, 20231031, 20231111, 20231202, 20231208, 20240113, 20240121, 20240211, 20240302, 20240621, 20240713, 20241020, 20241211, 20250105, 20250120, 20250308, 20250516, 20250524]"
Gina Rinehart,6557.0,6616.0,3127.0,1954-02-09T00:00:00Z,,Australia,Entrepreneur,"[20230109, 20230131, 20230208, 20230325, 20230604, 20230725, 20230727, 20230810, 20230814, 20240215, 20240417, 20240429, 20240502, 20240506, 20240510, 20240516, 20240517, 20240521, 20240527, 20240531, 20240607, 20240703, 20240806, 20241005, 20241031, 20241106, 20250114, 20250119, 20250505, 20250529]"
Giorgia Meloni,50491.0,43618.0,25403.0,1977-01-15T00:00:00Z,,Italy,Politician,"[20230115, 20230202, 20230302, 20230521, 20230909, 20230917, 20231020, 20231102, 20231202, 20231219, 20240104, 20240111, 20240115, 20240130, 20240322, 20240602, 20240610, 20240615, 20240813, 20240824, 20240926, 20241006, 20241215, 20250105, 20250115, 20250129, 20250302, 20250418, 20250426]"
Graham Potter,122564.0,2747.0,1732.0,1975-05-20T00:00:00Z,,United Kingdom,Celebrity,"[20230108, 20230113, 20230121, 20230203, 20230219, 20230226, 20230307, 20230311, 20230318, 20230402, 20230907, 20231022, 20231101, 20231103, 20231214, 20240104, 20240120, 20240126, 20240302, 20240407, 20240424, 20240716, 20240718, 20240930, 20241028, 20250106, 20250109, 20250203, 20250222, 20250413, 20250418]"
Greg Abbott,80322.0,72699.0,18418.0,1957-11-13T00:00:00Z,,United States,Politician,"[20230109, 20230123, 20230131, 20230206, 20230217, 20230326, 20230409, 20230425, 20230501, 20230508, 20230618, 20230626, 20230715, 20230724, 20231010, 20231022, 20231120, 20231219, 20240124, 20240126, 20240205, 20240301, 20240304, 20240320, 20240425, 20240518, 20240519, 20240708, 20240715, 20240718, 20240911, 20241106, 20241116, 20241126, 20241201, 20241231, 20250120, 20250202, 20250205, 20250306, 20250326, 20250501, 20250504, 20250513]"
Gretchen Whitmer,32102.0,44169.0,10224.0,1971-08-23T00:00:00Z,,United States,Politician,"[20230102, 20230126, 20230214, 20230326, 20230406, 20230425, 20230602, 20230616, 20230723, 20230727, 20230916, 20231011, 20231104, 20240125, 20240226, 20240403, 20240427, 20240618, 20240622, 20240628, 20240701, 20240721, 20240803, 20240806, 20240815, 20240820, 20240823, 20241011, 20241018, 20241106, 20250122, 20250128, 20250406, 20250410, 20250413, 20250430, 20250529]"
